pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster,distance,dist_m
209453,43.69836761357038,3.456155537400886,-0.23285859613428284,-1,2,True,300.28533772583796
207989,43.69723329437659,3.452555481130244,-0.5328585961342829,-1,2,True,363.73645422583326
208979,43.69559389013632,3.455226681949019,-0.23285859613428284,1,2,True,547.9876820534115
210404,43.696728116530736,3.458826688898446,-0.03285859613428288,-1,2,True,580.7149613581149
210893,43.69680670832851,3.460060593348128,-1.132858596134283,-1,2,True,649.8362799201269
210403,43.69582975002052,3.4589283205773755,-1.2328585961342826,-1,2,True,659.9063141238776
211389,43.69778365388198,3.461192902765234,-0.03285859613428288,-1,2,True,670.317645499777
211388,43.69688528533812,3.4612945007919005,-0.632858596134283,3,2,True,726.1442350449773
210402,43.69493138272001,3.45902994807254,-1.0328585961342829,-1,2,True,744.1658490082043
208977,43.69379716321976,3.455430046250288,-0.13285859613428275,-1,2,True,746.7557596513334
211387,43.69598691600408,3.461396094636096,-0.632858596134283,3,2,True,790.7623528967033
210891,43.69500997169377,3.460263814688445,-0.632858596134283,3,2,True,799.1328358437875
211880,43.696963847559466,3.462528411229216,-0.5328585961342829,3,2,True,807.6042502218733
210890,43.69411160219097,3.4603654190843463,-0.7328585961342826,-1,2,True,881.4002194018051
209931,43.69305604481078,3.457999364721225,-0.5328585961342829,-1,2,True,886.5174779976971
212807,43.698917672402956,3.464793154360182,-0.4328585961342828,-1,2,True,909.2559650127122
211878,43.69516710527826,3.462731556900844,-0.23285859613428284,-1,2,True,931.7172836843713
211385,43.69419017496543,3.4615992697780342,-0.13285859613428275,-1,2,True,938.8952869240588
212347,43.69614402283574,3.4638638806682347,-0.7328585961342826,3,2,True,945.9902532840628
208976,43.692000433140834,3.455633393809219,-0.4328585961342828,-1,2,True,946.1702444074759
209450,43.69207906223931,3.456867194697493,-0.632858596134283,-1,2,True,959.1168889915391
210889,43.69321323189782,3.4604670192977283,-0.13285859613428275,-1,2,True,967.0467688198149
209930,43.6921576765511,3.458100998580549,-0.23285859613428284,-1,2,True,982.0963953751098
211877,43.6942687329524,3.4628331234646983,-0.13285859613428275,4,2,True,1003.0569878022202
213266,43.6989961930809,3.466027111613581,-0.632858596134283,-1,2,True,1005.8503493866544
212346,43.69524564988887,3.463965432496243,-1.2328585961342826,-1,2,True,1006.3550002561426
210399,43.6922362760761,3.4593348054578454,-0.03285859613428288,-1,2,True,1014.427168919751
211384,43.69329180326067,3.4617008510762544,-1.3328585961342827,-1,2,True,1019.6685919439885
212804,43.69622255406944,3.465097778172968,-0.23285859613428284,-1,2,True,1029.3712305140884
213265,43.69809781968215,3.4661286381450895,-1.0328585961342829,-1,2,True,1034.0122067420502
