pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster
147459,43.63568354596355,3.2981049981683355,-1.6838441604861045,-1,-1
147460,43.6365817634451,3.2980010498354875,-0.3838441604861047,-1,38
147461,43.63747998012559,3.2978970972287387,-0.18384416048610475,-1,38
147465,43.64107283883786,3.2974812440578556,-0.8838441604861047,-1,38
147825,43.63396761243044,3.2995452828066596,-1.1838441604861045,-1,38
147826,43.634865832957956,3.299441361868805,-1.3838441604861047,-1,-1
147827,43.63666227160976,3.299233507174894,-1.0838441604861049,-1,38
147828,43.63756048973413,3.299129573418351,-0.4838441604861048,-1,38
147830,43.63935692358007,3.298921693084875,-1.7838441604861046,-1,-1
147831,43.640255139301715,3.2988177465074533,-0.18384416048610475,-1,38
147833,43.64205156834264,3.2986098405300277,-1.4838441604861048,-1,-1
147834,43.642949781661976,3.2985058811295374,-1.0838441604861049,-1,38
147835,43.643847994180675,3.298401917454202,-0.3838441604861047,-1,38
147837,43.64564441681621,3.298193977278022,-0.4838441604861048,-1,38
148209,43.63674276500839,3.30046596757145,-0.08384416048610466,-1,38
148210,43.63764098457639,3.3003620526653084,-1.1838441604861045,-1,38
148212,43.63943742130976,3.3001542100349206,-0.08384416048610466,-1,38
148214,43.64123385483993,3.2999463503121014,-1.4838441604861048,-1,38
148215,43.642132070403946,3.2998424140404228,-1.2838441604861046,-1,38
148216,43.6430302851673,3.299738473494904,-0.5838441604861047,-1,38
148217,43.643928499130034,3.2996345286753024,-0.4838441604861048,-1,38
148218,43.64482671229221,3.2995305795813783,-0.3838441604861047,-1,38
148223,43.65021597445607,3.2989067952433437,-0.18384416048610475,-1,38
148224,43.65111418201562,3.2988028162223166,-1.1838441604861045,-1,-1
148227,43.653808799893326,3.2984908535006086,-0.08384416048610466,-1,38
148608,43.63143390075267,3.302321717662516,-1.7838441604861046,-1,-1
148609,43.63682324364096,3.3016984310246196,-1.4838441604861048,-1,38
148610,43.63772146465233,3.301594534969071,-0.18384416048610475,-1,38
148611,43.63861968486286,3.301490634641664,-0.18384416048610475,-1,38
148612,43.6395179042726,3.301386730042155,-0.4838441604861048,0,38
148613,43.640416122881625,3.3012828211703025,-0.2838441604861046,-1,38
148614,43.641314340689945,3.301178908025859,-1.0838441604861049,-1,38
148615,43.64221255769761,3.3010749906085834,-0.4838441604861048,0,38
148618,43.644907203917285,3.3007632127173276,-0.18384416048610475,-1,38
148620,43.64670363072802,3.3005553394211953,-0.3838441604861047,-1,38
148623,43.649398264941546,3.3002434974191823,-0.18384416048610475,-1,38
148626,43.6520928919531,3.2999316169419455,-0.18384416048610475,-1,38
148627,43.65299109935674,3.299827648231679,-0.2838441604861046,-1,38
148628,43.653889305960334,3.299723675245413,-0.3838441604861047,-1,38
148629,43.65568571676763,3.2995157164439037,-5.583844160486105,-1,-1
148630,43.65748212437535,3.2993077405354687,-0.18384416048610475,-1,38
148631,43.66646411443372,3.298267604321116,-0.5838441604861047,-1,-1
148973,43.636005484252095,3.3030347704677685,-1.2838441604861046,-1,38
148974,43.63690370750737,3.3029308975338587,-0.9838441604861048,-1,38
148975,43.63780192996185,3.3028270203290955,-0.6838441604861047,-1,38
148976,43.63870015161555,3.3027231388532376,-0.4838441604861048,0,38
148977,43.63959837246853,3.3026192531060397,-1.4838441604861048,-1,38
148978,43.64049659252084,3.302515363087258,-0.7838441604861046,-1,38
148979,43.64139481177252,3.30241146879665,-0.5838441604861047,0,38
148980,43.64229303022361,3.302307570233972,-0.4838441604861048,0,38
148981,43.64319124787417,3.302203667398978,-0.18384416048610475,-1,38
148983,43.64498768077387,3.3019958489110817,-0.9838441604861048,-1,38
148984,43.64588589602311,3.301891933257686,-0.08384416048610466,-1,38
148985,43.64678411047199,3.3017880133310054,-0.2838441604861046,-1,38
148987,43.64858053696891,3.301580160656804,-0.3838441604861047,-1,38
148988,43.64947874901706,3.301476227908798,-0.18384416048610475,-1,38
148990,43.65127517071289,3.301268349589752,-0.5838441604861047,-1,38
148991,43.652173380360686,3.3011644040182273,-0.2838441604861046,-1,38
148992,43.65307158920845,3.30106045417171,-0.2838441604861046,-1,38
148993,43.653969797256266,3.3009565000499514,-0.4838441604861048,-1,38
148994,43.657562621448754,3.3005406408056825,-0.6838441604861047,-1,38
149003,43.678221112330185,3.2981481218317525,-0.08384416048610466,-1,55
149006,43.682712032683256,3.2976277093690114,-0.4838441604861048,-1,-1
149328,43.63878060360154,3.3039556461207207,-0.18384416048610475,-1,38
149329,43.63967882589749,3.303851779226026,-0.8838441604861047,-1,38
149330,43.64057704739283,3.3037479080605103,-0.5838441604861047,0,38
149332,43.64237348798184,3.3035401529160415,-0.08384416048610466,-1,38
149333,43.643271707075606,3.3034362689366024,-0.08384416048610466,-1,38
149334,43.644169925368956,3.303332380685368,-0.2838441604861046,-1,38
149335,43.64506814286192,3.303228488162096,-0.3838441604861047,-1,38
149336,43.64596635955456,3.3031245913665437,-2.1838441604861045,-1,-1
149337,43.64686457544691,3.3030206902984633,-1.1838441604861045,-1,-1
149338,43.647762790539026,3.302916784957614,-0.6838441604861047,-1,38
149340,43.64955921832272,3.3027089614566374,-0.7838441604861046,-1,-1
149342,43.65135564290603,3.3025011208616606,-0.2838441604861046,-1,38
149360,43.68997799806603,3.298028409762687,-2.9838441604861043,-1,-1
149689,43.6379628162815,3.3052920002157533,-0.18384416048610475,-1,38
149690,43.638861040820764,3.3051881564435703,-1.3838441604861047,-1,38
149691,43.63975926455941,3.3050843084015713,-2.1838441604861045,-1,-1
149692,43.64065748749751,3.3049804560895137,-0.9838441604861048,-1,38
149695,43.64335215150899,3.304668873530556,-0.7838441604861046,-1,38
149705,43.65413073553471,3.3034221588360633,-0.5838441604861047,-1,38
149707,43.655927155006246,3.3032143132296445,-0.18384416048610475,-1,38
149708,43.656825363542445,3.3031103840148934,-0.3838441604861047,-1,38
149709,43.657723571278986,3.3030064505254546,-0.08384416048610466,-1,38
149711,43.65951998435325,3.302798570721548,-0.5838441604861047,-1,38
149712,43.660418189691086,3.3026946244065893,-0.2838441604861046,-1,38
149713,43.661316394229445,3.302590673815968,-1.4838441604861048,-1,38
149714,43.66221459796839,3.302486718949442,-1.1838441604861045,-1,38
149715,43.66401100304818,3.302278796387701,-0.8838441604861047,-1,38
149716,43.66490920438913,3.3021748286919967,-0.6838441604861047,-1,38
149720,43.68017850494051,3.3004067233031855,-0.08384416048610466,-1,55
149721,43.68107669190239,3.3003026785862937,-0.2838441604861046,-1,55
150031,43.63714501050925,3.306628315392547,-1.1838441604861045,-1,38
150033,43.63894146327314,3.306420669821244,-0.3838441604861047,0,38
150034,43.639839688454245,3.306316840632134,-0.9838441604861048,-1,38
150035,43.64073791283487,3.306213007173728,-0.6838441604861047,0,38
150037,43.64253435919481,3.3060053274480534,-0.4838441604861048,0,38
150038,43.643432581174245,3.3059014811802983,-0.9838441604861048,-1,38
150041,43.64612724231087,3.3055899167544394,-0.3838441604861047,-1,38
150042,43.64702546108936,3.305486053404142,-0.08384416048610466,-1,38
150051,43.65690581485549,3.304343274595224,-0.08384416048610466,-1,38
150053,43.658702232416346,3.3041354410784667,-1.2838441604861046,-1,38
150054,43.6596004399975,3.3040315179085935,-1.3838441604861047,-1,38
150055,43.66049864677921,3.303927590464066,-0.2838441604861046,-1,38
150056,43.661396852761484,3.303823658744641,-0.18384416048610475,-1,38
150057,43.66229505794441,3.303719722750074,-0.5838441604861047,-1,38
150058,43.66319326232802,3.30361578248012,-1.4838441604861048,-1,-1
150065,43.67127706581902,3.302680127617946,-1.0838441604861049,-1,-1
150067,43.67846261459958,3.301848143520565,-0.2838441604861046,-1,55
150068,43.68025899380907,3.301640104703325,-0.6838441604861047,-1,-1
150069,43.68115718221624,3.3015360788744315,-0.08384416048610466,-1,55
150072,43.71438959245304,3.2976841119451135,-2.583844160486105,-1,-1
150073,43.71528775055678,3.297579923284986,-0.9838441604861048,-1,-1
150384,43.6408183234048,3.307445561312607,-0.3838441604861047,0,38
150385,43.64171654842728,3.3073417424392693,-0.08384416048610466,-1,38
150386,43.642614772649424,3.307237919296908,-0.3838441604861047,0,38
150387,43.643512996071294,3.3071340918852834,-0.8838441604861047,-1,38
150388,43.64710588175678,3.306718739541278,-1.1838441604861045,-1,-1
150394,43.654291614728145,3.3058878298545857,-0.08384416048610466,-1,38
150397,43.656986251396425,3.3055761682336926,-0.08384416048610466,-1,38
150398,43.65788446202006,3.305472272480732,-0.4838441604861048,-1,38
150399,43.6587826718442,3.305368372454368,-1.2838441604861046,-1,38
150400,43.6596808808689,3.305264468154358,-0.3838441604861047,-1,38
150401,43.660579089094185,3.3051605595804543,-0.8838441604861047,-1,38
150402,43.66147729652013,3.305056646732418,-0.9838441604861048,-1,38
150403,43.66327370897418,3.3048488082129617,-1.3838441604861047,-1,38
150404,43.66417191400237,3.304744882541057,-0.4838441604861048,-1,38
150408,43.66956112739073,3.3041212387237837,-0.4838441604861048,-1,-1
150411,43.67944127724831,3.3029774918278334,-0.08384416048610466,-1,55
150412,43.681237657750984,3.302769482225925,-0.2838441604861046,-1,55
150413,43.714470121496475,3.298918214697228,-0.8838441604861047,-1,-1
150414,43.71536828104755,3.298814044954365,-2.7838441604861046,-1,-1
150415,43.71626643980214,3.298709870922461,-1.9838441604861048,-1,-1
150732,43.6400004919424,3.308781914256134,-0.6838441604861047,0,38
150733,43.640898719207264,3.3086781185056084,-1.0838441604861049,-1,38
150734,43.6417969456718,3.3085743184870684,-0.4838441604861048,0,38
150735,43.64269517133607,3.3084705142002697,-0.2838441604861046,0,38
